 ,Andong,Ansan-si,Anseong,Anyang-si,Asan,Beolgyo,Boryeong,Bucheon-si,Busan,Buyeo,Changnyeong,Changsu,Changwon,Cheonan,Cheongju-si,Cheongsong gun,Chinch'ŏn,Chinju,Chuncheon,Daegu,Daejeon,Eisen,Eisen,Gaigeturi,Ganghwa-gun,Gangneung,Gapyeong,Gijang,Gimcheon,Gongju,Goseong,Goyang-si,Gumi,Gunsan,Guri-si,Gwangju,Gwangju,Gyeongju,Gyeongsan-si,Haenam,Hanam,Hayang,Heunghae,Hongch’ŏn,Hongseong,Hwacheon,Hwado,Hwaseong-si,Hwasun,Hwawŏn,Icheon-si,Iksan,Imsil,Incheon,Jeju City,Jenzan,Jeongeup,Jeonju,Jinan-gun,Kimhae,Kimje,Kinzan,Koch'ang,Koesan,Kosong,Kunwi,Kurye,Kwangmyŏng,Kwangyang,Kyosai,Masan,Miryang,Mokpo,Muan,Mungyeong,Munsan,Naesŏ,Naju,Namyangju,Nangen,Neietsu,Nonsan,Okcheon,Osan,Pohang,Puan,Pubal,Pyeongchang,Sangju,Santyoku,Sejong,Seogwipo,Seonghwan,Seongnam-si,Seosan,Seoul,Sinan,Sinhyeon,Sintansin,Sokcho,Suncheon,Suwon,Taesal-li,Tangjin,Tonghae,T’aebaek,Uijeongbu-si,Ulsan,Ungsang,Wabu,Waegwan,Wanju,Wŏnju,Yanggu,Yangju,Yangp'yŏng,Yangsan,Yeoju,Yeongam,Yeongdong,Yeonggwang,Yeonil,Yeosu,Yesan,Yongsan-dong,Yŏnmu
Sintansin,197.38,125.18,54.89,120.44,46.89,175.43,94.50,137.22,180.58,52.10,140.33,68.25,156.70,42.23,14.77,204.52,32.02,112.92,312.91,138.68,9.31,211.70,188.34,326.34,169.41,387.62,327.08,190.28,85.90,21.75,135.15,147.91,166.35,77.67,344.62,147.27,305.88,210.63,229.53,229.79,316.11,237.63,212.35,297.87,70.41,331.71,333.31,142.63,193.03,131.38,86.38,110.56,114.24,138.31,313.16,185.54,125.00,98.23,74.06,171.44,89.50,32.30,117.12,40.56,385.79,163.23,169.64,131.44,150.21,157.67,171.65,204.29,166.82,150.58,64.36,164.42,145.64,166.52,344.12,137.31,266.41,59.21,21.08,61.70,210.79,97.29,86.64,278.14,51.08,418.09,23.31,337.22,44.04,139.42,127.45,134.33,184.87,158.81,,369.76,161.24,111.76,90.20,71.42,408.43,257.91,356.32,207.54,191.76,339.55,143.88,97.32,267.29,338.03,368.10,308.22,183.56,83.87,224.05,60.79,130.51,211.72,172.85,52.57,133.92,65.65
Sokcho,186.17,142.07,169.01,133.04,183.07,372.86,223.01,147.11,318.79,379.62,263.42,318.08,296.79,190.96,186.57,218.64,164.46,312.23,80.18,238.36,364.20,169.50,243.71,523.76,158.22,40.60,99.06,328.49,239.60,387.54,347.95,134.40,231.27,372.95,110.35,471.02,121.24,266.00,248.20,427.21,109.51,259.71,267.72,78.65,201.82,98.98,99.04,151.79,390.46,241.11,131.76,360.39,364.07,150.92,510.58,230.16,374.83,348.06,323.89,309.65,365.26,343.49,477.52,170.96,15.60,213.25,367.06,144.64,347.64,370.48,468.24,342.50,434.73,444.28,194.40,150.91,285.30,463.10,109.84,387.14,147.48,370.69,366.49,166.27,266.16,386.14,134.86,86.03,220.19,71.07,197.59,534.65,182.66,121.41,196.37,119.51,455.33,371.61,369.24,,358.66,134.61,201.22,181.25,61.41,95.04,122.05,345.75,329.98,105.28,230.21,347.14,109.20,43.30,133.82,140.55,321.78,124.34,421.48,348.12,468.04,267.09,370.27,201.46,140.32,366.85
Suncheon,186.54,327.04,321.33,322.29,153.77,16.44,194.88,339.08,112.85,188.71,98.68,109.86,88.98,149.33,175.62,193.68,192.87,54.85,302.07,127.85,155.98,200.86,177.50,167.34,381.66,376.78,316.24,122.56,188.50,124.48,67.64,357.84,155.51,167.81,333.78,114.61,295.04,223.05,161.81,70.80,305.27,169.91,211.59,287.03,214.26,320.87,322.47,344.48,52.38,120.54,288.59,97.33,61.42,340.17,154.16,174.70,90.78,79.82,115.67,103.72,153.11,135.27,121.10,324.86,374.95,152.40,25.27,333.29,11.66,90.17,111.82,136.57,78.31,87.86,207.61,374.34,77.92,106.68,333.28,42.92,255.57,107.63,158.27,340.03,210.03,143.59,291.69,267.30,196.10,407.26,150.37,178.23,157.08,315.60,227.83,342.95,98.91,91.30,161.02,358.92,,313.62,393.92,373.95,397.59,247.07,345.48,139.82,124.04,328.71,142.24,78.91,256.45,327.19,357.26,297.38,115.84,278.24,65.06,139.90,111.62,210.96,18.14,226.22,363.76,103.79
Suwon,139.82,19.67,42.23,9.27,40.58,326.51,108.34,31.71,272.44,127.84,217.07,271.73,250.44,39.12,96.20,172.29,53.94,265.88,102.81,192.01,317.85,123.15,197.36,477.41,63.90,169.26,78.77,282.14,193.25,75.26,301.60,42.40,184.93,153.42,48.65,424.67,52.25,219.65,201.85,380.86,44.79,213.36,221.37,87.77,87.15,121.61,56.26,14.96,344.11,194.76,34.06,314.04,317.72,32.80,464.23,183.81,328.48,301.71,277.54,263.30,165.25,297.14,192.87,80.59,167.44,166.90,320.71,20.53,301.29,324.13,421.89,296.16,388.38,397.93,99.69,58.91,238.95,416.75,51.57,340.79,101.13,87.04,320.14,11.88,219.81,173.03,35.57,96.89,173.84,199.74,61.59,488.30,36.12,33.91,81.70,27.30,408.98,325.26,322.89,151.40,312.31,,86.55,66.59,190.07,223.71,60.35,299.41,283.63,52.60,183.86,300.79,62.85,127.93,72.12,71.70,275.43,42.28,375.13,301.77,206.26,220.74,323.92,86.79,26.89,93.48
Taesal-li,217.99,64.82,64.16,69.50,45.65,404.68,61.56,76.85,350.61,75.24,295.24,349.90,328.61,54.16,159.75,250.46,140.60,344.05,141.05,270.18,396.02,201.32,275.53,308.30,109.04,214.40,123.91,360.31,271.42,82.98,379.77,87.54,263.09,93.08,93.78,162.69,97.39,297.82,280.02,211.75,89.93,291.53,299.54,139.52,41.25,159.85,101.40,57.75,170.95,272.93,97.61,102.34,395.89,77.94,295.12,261.98,128.44,379.88,355.71,341.47,104.92,375.31,132.54,144.13,212.58,245.07,398.88,71.07,379.46,402.30,187.07,374.33,182.24,165.99,226.22,104.05,317.12,181.93,96.71,418.96,179.30,94.76,398.31,92.70,297.98,112.70,99.12,173.10,252.01,244.88,69.31,319.19,57.22,79.05,20.73,90.16,200.29,403.43,401.06,196.54,390.48,69.30,,20.78,235.21,268.84,105.48,377.57,361.80,97.73,262.03,378.96,141.02,166.17,117.26,116.84,353.59,105.83,206.01,379.94,145.93,298.91,402.09,44.00,93.81,101.20
Tangjin,201.81,48.64,47.99,53.33,26.72,388.51,47.49,60.68,334.44,71.91,279.07,333.73,312.44,35.24,143.58,234.29,124.43,327.88,124.88,254.01,379.85,185.14,259.36,539.41,92.87,198.23,107.74,344.14,255.25,55.08,363.60,71.37,246.92,97.48,77.61,167.08,81.22,281.65,263.85,442.86,73.76,275.36,283.37,123.35,26.30,143.68,85.23,41.58,175.35,256.76,81.43,106.74,379.72,61.77,526.23,245.80,132.84,363.71,339.54,325.30,109.31,359.14,136.93,127.96,196.40,228.90,382.71,54.90,363.29,386.12,191.46,358.15,186.63,170.39,210.05,87.88,300.95,186.33,80.54,402.79,163.13,75.83,382.14,76.53,281.81,117.10,82.95,156.93,235.83,228.70,50.38,550.30,41.05,62.88,16.20,73.99,204.68,387.26,384.89,180.37,374.31,53.13,20.56,,219.04,252.67,89.31,361.40,345.63,81.56,245.86,362.79,124.85,150.00,101.09,100.67,337.42,89.66,437.12,363.77,150.33,282.74,385.92,27.41,77.64,82.28
Tonghae,177.47,180.30,158.50,171.27,221.30,364.16,261.24,185.34,310.09,370.93,254.72,309.38,288.09,229.19,177.64,209.94,202.69,303.53,118.41,229.66,355.50,160.80,235.01,515.06,196.45,26.50,137.29,319.79,230.90,378.84,339.25,172.63,222.58,364.25,148.58,462.33,159.47,257.30,239.51,418.52,147.74,251.01,259.02,116.88,240.05,137.21,137.26,190.01,381.76,232.42,124.16,351.69,355.38,189.15,501.89,221.46,366.13,339.36,315.19,300.95,356.57,334.79,468.82,162.03,77.86,204.55,358.37,182.86,338.94,361.78,459.54,333.81,426.04,435.58,185.70,189.14,276.60,454.41,148.07,378.45,93.88,362.00,357.79,204.50,257.46,377.44,126.91,75.57,211.49,11.62,188.66,525.95,220.89,159.64,234.60,157.74,446.64,362.91,360.55,61.83,349.97,172.84,239.45,219.48,,35.58,160.28,337.06,321.28,143.51,221.52,338.45,100.50,143.53,172.05,132.96,313.08,115.41,412.78,339.43,459.34,258.39,361.58,239.69,178.55,358.16
T’aebaek,60.97,183.15,177.44,178.40,231.88,260.80,342.77,195.19,206.73,267.57,151.36,206.02,184.73,220.84,271.78,106.58,172.93,200.17,158.18,126.30,252.15,45.13,131.65,411.70,230.68,60.72,171.52,216.43,127.54,275.48,235.89,206.85,119.22,260.89,182.80,358.97,151.15,153.94,136.15,315.16,161.38,147.65,155.67,143.14,250.62,176.98,171.49,200.59,278.40,129.06,144.70,248.33,252.02,196.28,398.53,118.10,262.77,236.00,211.83,197.60,253.21,231.43,365.46,180.97,112.08,101.19,255.01,189.40,235.58,258.42,356.18,230.45,322.68,332.22,80.46,223.36,173.25,351.05,182.30,275.09,41.83,258.64,254.43,196.14,154.10,274.08,147.80,50.53,108.13,28.62,301.37,422.59,212.53,193.87,245.17,191.96,343.28,259.55,257.19,96.05,246.61,169.72,250.02,230.06,40.65,,194.50,233.70,217.92,177.73,118.16,235.09,112.56,183.30,206.27,153.49,209.72,134.35,309.42,236.07,355.98,155.03,258.22,250.26,212.78,254.80
Uijeongbu-si,150.36,50.60,77.53,41.56,91.59,337.06,131.53,31.98,282.99,151.03,227.62,282.28,260.99,99.48,115.36,182.84,72.98,276.43,66.80,202.56,328.40,133.69,207.91,487.96,43.09,140.15,49.66,292.69,203.80,351.74,312.15,19.26,195.47,176.61,14.89,435.22,29.77,230.20,212.40,391.41,19.29,223.91,231.92,65.27,110.34,85.60,27.15,60.31,354.66,205.31,53.21,324.59,328.27,35.79,474.78,194.35,339.03,312.26,288.09,273.85,329.46,307.69,441.72,99.74,138.33,177.45,331.26,38.75,311.84,334.67,432.43,306.70,398.93,408.48,158.60,35.77,249.50,427.30,17.30,351.34,111.68,334.89,330.69,74.79,230.36,196.22,54.72,105.48,184.38,170.63,126.37,498.85,91.18,29.93,104.89,23.80,419.53,335.81,333.44,122.29,322.86,43.13,109.74,89.78,160.96,194.60,,309.95,294.18,18.18,194.41,311.34,73.40,91.93,7.67,49.22,285.97,61.44,385.67,312.32,432.24,231.29,334.47,109.98,25.19,331.05
Ulsan,172.74,313.24,307.54,308.50,254.02,153.95,292.00,325.29,41.70,216.81,84.89,155.26,65.10,249.58,221.02,179.89,303.03,93.32,288.28,91.13,201.38,187.06,111.79,304.85,367.86,362.99,302.44,23.68,174.71,224.72,113.71,344.04,141.72,210.13,319.99,252.12,281.25,36.20,86.93,208.30,291.48,95.04,136.72,273.24,380.72,307.08,308.68,330.69,171.55,106.75,274.80,197.57,184.31,326.38,291.67,160.91,212.01,185.24,161.07,46.84,202.45,180.67,258.61,311.07,361.16,138.60,148.15,319.50,128.73,136.23,249.33,61.70,215.82,225.37,193.82,360.55,65.62,244.19,319.48,165.81,241.78,207.88,203.67,326.24,135.15,281.09,277.90,253.50,182.31,393.46,250.61,315.74,342.63,301.81,375.27,329.15,236.42,137.37,206.43,345.13,139.75,299.82,380.12,360.16,383.79,233.27,331.69,,15.23,314.92,128.45,184.33,242.66,313.40,343.46,283.59,35.07,264.45,202.57,185.31,249.13,136.09,151.36,380.36,349.96,204.03
Ungsang,157.26,297.76,292.05,293.01,238.53,138.46,276.52,309.80,24.07,201.32,69.40,139.77,49.62,234.09,205.53,164.41,287.54,77.84,272.79,75.64,185.90,171.58,96.30,289.37,352.38,347.50,286.96,16.41,159.22,209.24,98.22,328.56,126.23,194.64,304.50,236.63,265.76,45.20,71.45,192.82,275.99,79.56,121.23,257.76,365.23,291.59,293.19,315.20,156.06,91.27,259.31,182.09,168.82,310.89,276.19,145.42,196.53,169.76,145.59,31.35,186.96,165.19,243.12,295.58,345.68,123.12,132.67,304.02,113.24,120.75,233.84,46.21,200.34,209.89,178.34,345.06,50.13,228.71,304.00,150.32,226.29,192.39,188.19,310.76,119.67,265.61,262.41,238.02,166.83,377.98,235.13,300.25,327.15,286.32,359.78,313.67,220.94,121.88,190.94,329.64,124.27,284.34,364.64,344.67,368.31,217.79,316.21,15.24,,299.43,112.96,168.84,227.18,297.92,327.98,268.11,11.79,248.96,187.08,169.82,233.65,120.60,135.88,364.88,334.48,188.55
Wabu,155.46,42.83,69.76,33.80,83.83,342.16,123.77,42.83,288.09,348.92,232.72,287.38,266.09,91.72,107.59,187.94,65.22,281.53,49.48,207.66,333.50,138.80,213.01,493.06,53.94,122.83,32.34,297.79,208.90,356.84,317.25,30.12,200.57,342.24,6.61,440.32,22.00,235.30,217.50,396.51,11.52,229.01,237.02,47.95,102.57,68.28,9.83,52.54,359.76,210.41,45.45,329.69,333.37,46.65,479.88,199.45,344.13,317.36,293.19,278.95,334.56,312.79,446.82,91.98,121.00,182.55,336.36,45.39,316.94,339.78,437.54,311.80,404.03,413.58,163.70,46.63,254.60,432.40,6.00,356.44,116.78,339.99,335.79,67.03,235.46,188.46,46.96,112.71,189.48,153.31,118.61,503.95,83.42,22.17,97.12,15.77,424.63,340.91,338.54,104.97,327.96,35.37,101.98,82.01,143.64,177.27,17.77,315.05,299.28,,199.51,316.44,78.50,74.60,30.32,20.97,291.07,53.67,390.77,317.42,437.34,236.39,339.57,102.22,16.73,336.15
Waegwan,57.72,198.22,192.52,193.48,246.95,162.63,241.30,210.26,108.56,166.10,53.19,104.55,86.56,198.87,170.31,64.87,188.01,102.00,173.25,17.68,150.68,72.04,48.68,313.53,252.84,247.97,187.42,118.26,19.56,174.01,122.39,229.02,15.17,159.42,204.97,260.80,166.22,70.97,27.64,216.99,176.45,36.47,72.70,158.22,265.70,192.05,193.66,215.67,180.23,28.84,159.78,146.87,150.55,211.35,300.36,23.41,161.31,134.54,110.37,99.42,151.74,129.97,267.29,196.05,246.14,23.58,156.84,204.48,137.41,144.92,258.01,132.28,224.51,234.05,78.80,245.53,75.07,252.88,204.46,174.49,126.75,157.17,152.97,211.22,71.14,172.61,162.87,138.48,67.29,278.44,199.91,324.42,227.61,186.78,260.25,214.13,245.10,146.05,155.72,230.11,148.44,184.80,265.10,245.13,268.77,118.25,216.67,135.53,119.75,199.90,,133.62,127.64,198.38,228.44,168.57,111.55,149.43,211.25,46.10,257.81,72.07,160.05,265.34,234.94,153.33
Wanju,174.57,315.07,93.09,310.33,81.26,92.35,60.04,327.11,157.77,44.05,117.52,42.51,133.89,76.82,111.45,181.72,104.53,90.11,290.10,115.88,91.82,188.89,165.54,243.26,369.69,364.82,304.27,167.47,100.85,51.97,112.34,345.87,143.55,28.47,321.82,91.65,283.08,187.82,206.72,146.71,293.30,214.83,189.55,275.07,79.43,308.90,310.51,332.51,128.29,108.58,276.63,16.79,22.84,328.20,230.08,162.73,28.33,3.01,28.58,148.63,18.76,71.11,61.50,312.90,362.99,140.43,62.52,321.33,73.43,134.87,116.03,181.49,154.23,94.95,195.65,362.38,122.83,110.89,321.31,45.91,243.60,35.12,94.11,328.07,187.99,41.66,279.72,255.33,184.14,395.29,77.86,254.14,84.57,303.63,92.99,330.98,129.25,136.00,96.86,346.95,77.24,301.65,113.95,361.98,385.62,235.10,333.52,184.74,168.96,316.75,121.08,,244.49,315.23,345.29,285.42,160.76,266.28,140.97,75.74,74.89,188.92,89.77,77.32,351.79,31.28
Wŏnju,83.25,73.44,67.74,68.70,122.17,269.94,351.91,85.48,215.87,276.71,160.50,215.16,193.88,111.13,86.88,115.73,63.23,209.32,52.37,135.44,261.29,66.58,140.80,420.85,117.67,127.08,66.54,225.58,136.69,284.62,245.04,108.14,128.36,270.03,84.08,368.11,45.34,163.09,145.29,324.30,55.57,156.80,164.81,37.34,140.92,71.17,72.77,90.89,287.55,138.20,38.89,257.48,261.16,86.57,407.67,127.24,271.92,245.15,220.98,206.74,262.35,240.58,374.60,71.27,125.26,110.33,264.15,79.70,244.73,267.56,365.32,239.59,331.82,341.37,91.49,124.64,182.39,360.19,83.58,284.23,44.57,267.78,263.58,86.44,163.25,283.22,36.15,39.97,117.27,157.56,97.90,431.73,102.83,87.68,135.47,93.25,352.42,268.70,266.33,109.22,255.75,60.02,140.32,120.36,147.89,112.79,95.78,242.84,227.06,79.01,127.30,244.23,,77.50,107.56,47.69,218.86,24.65,318.56,245.21,365.13,164.18,267.36,140.56,114.06,263.94
Yanggu,154.71,141.68,135.97,102.97,153.00,341.40,423.37,117.04,287.34,348.17,231.97,286.62,265.34,179.37,155.12,187.19,131.46,280.78,27.44,206.91,332.75,138.04,212.26,492.31,128.15,123.28,45.89,297.04,208.15,356.09,316.50,104.33,199.82,341.49,80.28,439.57,106.76,234.55,216.75,395.76,79.44,228.26,236.27,47.19,171.75,33.77,68.97,121.72,359.01,209.66,100.31,328.94,332.62,120.85,479.13,198.70,343.38,316.61,292.44,278.20,333.81,312.04,446.07,139.50,48.87,181.80,335.61,114.57,316.19,339.02,436.78,311.05,403.28,412.83,162.95,120.84,253.85,431.65,79.77,355.69,116.03,339.24,335.04,154.67,234.71,354.69,103.41,111.95,188.73,153.75,166.14,503.19,171.07,91.34,166.30,89.44,423.88,340.16,337.79,43.56,327.21,128.26,171.15,151.18,144.08,177.72,91.98,314.30,298.53,75.21,198.76,315.69,77.75,,103.75,109.10,290.32,92.88,390.02,316.67,436.59,235.64,338.82,171.39,110.25,335.40
Yangju,162.30,62.53,89.47,53.50,103.53,348.99,143.47,66.08,294.92,162.97,239.55,294.21,272.93,111.42,127.30,194.78,84.92,288.37,78.74,214.49,340.34,145.63,219.85,499.90,77.19,152.09,61.60,304.63,215.74,363.67,324.09,53.37,207.41,188.54,27.68,447.16,41.70,242.14,224.34,403.35,31.22,235.85,243.86,77.21,122.28,97.54,39.09,72.25,366.60,217.25,65.15,336.53,340.21,71.87,486.72,206.29,350.97,324.20,300.03,285.79,341.40,319.63,453.65,111.68,150.27,189.38,343.20,65.10,323.78,346.61,444.37,318.64,410.87,420.42,170.54,19.91,261.44,439.24,32.24,363.28,123.62,346.83,342.63,86.73,242.30,208.16,66.66,117.42,196.32,182.57,138.31,510.78,103.12,41.87,116.83,37.96,431.47,347.75,345.38,134.23,334.80,55.07,121.68,101.72,172.90,206.53,7.76,321.89,306.11,30.21,206.35,323.28,85.34,103.86,,61.15,297.91,73.38,397.61,324.26,444.18,243.23,346.41,121.92,37.55,342.99
Yangp'yŏng,113.68,70.50,64.79,52.86,102.89,300.37,142.82,74.02,246.30,307.14,190.93,245.59,224.30,108.19,83.82,146.15,61.87,239.74,73.09,165.87,291.71,97.01,171.22,451.27,85.13,147.81,30.77,256.00,167.11,315.05,275.46,61.31,158.79,300.46,37.26,398.54,19.63,193.51,175.72,354.73,18.75,187.22,195.24,58.06,121.63,91.90,31.61,71.60,317.97,168.63,19.20,287.90,291.59,71.23,438.10,157.67,302.34,275.57,251.40,237.17,292.78,271.00,405.03,68.20,145.98,140.76,294.58,64.45,275.15,297.99,395.75,270.02,362.25,371.79,121.91,77.82,212.82,390.62,24.39,314.66,75.00,298.21,294.00,83.49,193.67,313.65,22.30,68.79,147.70,178.28,94.83,462.16,99.88,41.23,116.18,46.42,382.85,299.12,296.76,129.95,286.18,57.07,121.04,101.07,168.61,143.22,48.96,273.27,257.49,19.85,157.73,274.66,36.71,98.22,60.73,,249.29,19.08,348.99,275.64,395.55,194.61,297.79,121.27,67.23,294.37
Yangsan,149.25,289.75,284.04,285.00,230.52,130.45,268.51,301.79,21.59,193.31,61.39,131.76,41.61,226.08,197.52,156.40,279.53,69.83,264.78,61.87,177.89,163.57,82.53,281.36,344.37,339.49,278.95,17.74,152.07,201.23,90.21,320.55,118.22,186.63,296.49,228.62,257.75,118.92,57.68,184.81,267.98,65.79,107.46,249.75,357.22,283.58,285.18,307.19,148.05,83.26,251.30,174.08,160.81,302.88,268.18,138.27,188.52,161.75,137.58,18.21,178.95,157.18,235.11,287.57,337.67,115.11,124.66,296.01,105.23,112.74,225.83,32.44,192.33,201.88,155.82,337.05,42.12,220.70,295.99,142.31,218.28,184.38,180.18,302.74,105.90,257.60,254.40,230.01,146.93,369.97,227.12,292.24,319.14,278.31,351.77,305.66,212.93,113.87,182.93,321.63,116.26,276.33,356.63,336.66,360.30,209.78,308.20,35.01,11.81,291.42,104.95,160.83,219.16,289.91,319.97,260.10,,240.95,179.07,161.81,225.64,106.83,127.87,356.87,326.47,180.54
Yeoju,105.01,55.79,50.08,51.04,104.52,291.70,144.45,67.83,237.63,298.47,182.26,236.92,215.63,93.48,69.23,137.48,45.57,231.07,68.00,157.20,283.04,88.34,162.55,442.60,100.02,142.72,82.17,247.33,158.44,306.38,266.79,78.52,150.12,291.79,84.76,389.87,43.02,184.84,167.04,346.06,42.85,178.55,186.56,52.97,123.26,86.80,88.40,73.23,309.30,159.96,16.99,279.23,282.91,68.92,429.43,149.00,293.67,266.90,242.73,228.50,284.11,262.33,396.36,53.61,140.89,132.09,285.91,62.04,266.48,289.32,387.08,261.35,353.58,363.12,113.24,95.02,204.14,381.95,87.69,305.99,66.33,289.54,285.33,68.78,185.00,304.98,7.43,62.08,139.03,173.19,80.25,453.49,85.18,70.02,117.81,64.94,374.17,290.45,288.09,124.85,277.51,42.37,122.67,102.70,163.52,134.55,96.46,264.60,248.82,88.71,149.06,265.99,28.04,93.13,108.23,19.05,240.62,,340.32,266.97,386.88,185.93,289.12,122.91,64.52,285.69
Yeongam,250.09,390.59,203.55,385.84,191.73,52.50,152.70,402.63,176.41,146.53,162.23,173.41,152.53,187.29,239.17,257.24,215.00,118.40,365.62,191.40,219.53,264.41,241.05,123.27,445.21,440.33,379.79,186.11,252.05,166.53,131.19,421.39,219.06,125.63,397.33,72.43,358.59,286.60,225.36,25.01,368.82,233.47,275.14,350.59,172.08,384.42,386.02,408.03,61.20,184.10,352.14,124.55,124.76,403.72,110.09,238.25,98.86,143.16,164.43,167.27,110.94,198.82,78.92,388.41,438.51,215.95,88.61,396.84,71.20,153.72,69.64,200.12,36.14,45.69,271.17,437.89,141.47,17.11,396.83,106.26,319.12,182.79,221.82,403.58,273.58,101.41,355.24,330.85,259.66,470.81,188.33,134.16,195.04,379.15,185.65,406.50,56.74,154.86,224.58,422.47,65.65,377.17,206.61,195.22,461.14,310.62,409.03,203.37,187.60,392.26,205.79,142.25,320.00,390.75,420.81,360.94,179.39,341.79,,203.46,69.45,274.51,77.92,184.04,427.31,189.23
Yeongdong,176.40,316.90,157.85,312.16,146.03,154.46,184.02,328.94,159.60,108.82,119.35,47.27,135.72,141.59,52.07,183.55,67.28,91.94,291.93,117.71,31.77,190.72,167.36,305.36,371.52,366.65,306.10,169.30,26.77,116.73,114.17,347.70,43.01,102.14,323.65,252.62,284.90,189.65,208.55,208.81,295.13,216.66,191.38,276.90,159.93,310.73,312.34,334.34,172.06,110.41,278.46,89.59,93.27,330.03,292.18,40.43,104.03,77.26,53.09,150.46,94.46,34.75,135.17,60.38,364.82,142.26,148.66,323.16,129.24,136.70,249.84,183.32,216.33,225.88,62.61,364.21,124.66,244.70,323.14,116.34,245.43,99.89,17.13,329.90,189.82,115.33,281.55,257.16,48.97,397.12,57.20,316.25,149.34,305.46,216.97,332.81,236.93,137.83,34.07,348.78,140.26,303.48,383.78,363.81,387.45,236.93,335.35,186.57,170.79,318.58,46.27,76.34,246.32,317.06,347.12,287.25,162.59,268.11,203.07,,249.64,190.75,151.87,142.08,353.62,96.05
Yeonggwang,295.82,185.82,142.67,190.50,130.85,98.24,91.81,197.85,222.14,85.64,207.97,115.59,198.26,126.41,140.55,302.97,154.11,164.14,411.35,237.13,125.00,310.14,286.79,170.38,230.04,486.07,425.52,231.84,297.79,105.64,176.93,208.54,264.80,64.74,214.78,51.93,404.33,332.33,271.09,73.83,210.93,279.20,320.87,396.32,111.20,430.16,431.76,178.75,53.11,229.83,397.88,63.66,170.50,198.94,157.20,283.99,37.97,66.79,101.66,213.00,50.05,244.56,18.04,162.54,484.24,261.68,134.34,192.07,116.93,199.46,49.14,245.86,44.31,28.07,316.90,225.05,187.20,44.01,217.71,70.28,364.85,121.90,267.56,152.19,319.31,40.52,400.98,376.58,305.39,516.54,127.44,181.26,134.15,200.05,124.76,211.17,62.37,200.59,127.81,468.21,111.38,190.30,145.72,134.33,506.87,356.35,226.49,249.11,233.33,438.00,251.52,75.28,365.74,436.48,238.26,406.67,225.13,387.53,68.09,249.19,,320.24,123.66,123.16,214.81,128.34
Yeonil,94.83,235.33,229.63,230.59,284.06,225.62,297.48,247.37,116.76,222.28,106.07,160.73,136.78,255.05,226.49,128.39,225.12,164.99,210.36,53.58,206.86,109.15,35.72,376.52,289.95,285.08,224.53,119.73,93.76,230.19,185.38,266.13,89.03,215.60,242.08,323.79,203.34,16.82,58.37,279.98,213.56,41.13,9.52,195.33,302.81,229.17,230.77,252.78,243.22,83.77,196.89,203.05,206.73,248.46,363.35,79.96,217.49,190.72,166.55,113.38,207.92,186.15,330.28,233.16,283.25,60.69,219.83,241.59,200.40,207.91,321.00,83.45,287.50,297.04,97.51,282.64,127.96,315.87,241.57,237.48,163.86,213.35,209.15,248.33,4.81,228.79,199.98,175.59,88.61,315.55,256.09,387.41,264.72,223.90,297.36,251.24,308.10,209.04,211.90,267.22,211.43,221.91,302.21,282.25,305.88,155.36,253.78,137.00,121.22,237.01,72.87,189.80,164.75,235.49,265.55,205.68,107.27,186.54,274.24,190.78,320.80,,223.04,302.45,272.05,209.51
Yeosu,198.40,338.90,333.20,334.16,165.43,28.90,207.34,350.94,124.72,201.17,110.55,121.73,100.84,160.99,187.48,205.55,188.69,66.72,313.94,139.71,167.85,212.72,189.37,179.81,393.52,388.65,328.10,134.42,200.37,136.13,79.51,369.70,167.38,180.27,345.65,127.07,306.91,234.92,173.67,83.26,317.14,181.78,223.46,298.90,226.72,332.74,334.34,356.35,64.85,132.41,300.46,108.98,73.08,352.03,166.63,186.57,102.43,91.48,112.74,115.59,165.58,147.14,133.56,336.73,386.82,164.26,36.92,345.16,18.55,102.04,124.28,148.44,90.78,100.33,219.48,386.21,89.78,119.15,345.14,54.58,267.43,119.29,170.14,351.90,221.90,156.05,303.56,279.16,207.97,419.12,162.02,190.69,168.73,327.47,240.29,354.81,111.38,103.17,172.89,370.79,18.27,325.48,405.78,385.82,409.45,258.93,357.35,151.69,135.91,340.58,154.11,90.56,268.32,339.06,369.12,309.25,127.71,290.11,77.52,151.77,124.09,222.83,,238.68,375.62,115.44
Yesan,221.54,68.37,67.71,73.05,15.55,215.89,32.38,80.40,354.16,47.24,298.79,108.13,332.16,28.12,52.44,254.01,46.35,155.73,144.60,273.73,49.77,204.87,279.08,288.03,112.59,217.95,127.46,363.86,274.97,30.42,177.96,91.09,266.65,72.82,97.34,142.42,100.94,301.37,283.57,191.48,93.48,295.08,303.09,143.07,12.75,163.40,104.95,61.30,150.69,276.49,101.16,82.07,93.96,81.49,274.85,265.53,108.18,77.95,94.20,345.02,84.65,136.72,112.27,147.69,216.13,248.62,133.63,74.62,193.02,200.48,166.80,377.88,161.97,145.72,229.77,107.60,320.67,161.67,100.26,117.03,182.85,46.67,159.72,96.25,301.53,92.44,102.67,176.65,255.56,248.43,40.88,298.92,31.95,82.60,27.60,93.72,180.02,201.62,52.59,200.09,229.04,72.85,43.83,27.30,238.76,272.40,109.04,381.13,365.35,101.29,265.58,77.03,144.57,169.73,120.81,120.39,357.15,109.38,185.75,141.36,125.66,302.46,241.31,,97.36,53.11
